fecha;1 de julio;2 de julio;3 de julio;4 de julio;5 de julio;6 de julio;7 de julio;8 de julio;9 de julio;10 de julio;11 de julio;12 de julio;13 de julio;14 de julio;15 de julio;16 de julio;17 de julio;18 de julio;19 de julio;20 de julio;21 de julio;22 de julio;23 de julio;24 de julio;25 de julio;26 de julio;27 de julio;28 de julio;29 de julio;30 de julio;31 de julio
01-07-2019;NA;9;9.5;10;15.5;12.5;11.5;11;11;10.5;9;8.5;9;8.5;8.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
02-07-2019;8;NA;9;10.5;15.5;12;12;11;11.5;10.5;9;8;7.5;8.5;9.5;9.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
03-07-2019;8;8;NA;10.5;16;12.5;12;11.5;12;10.5;9;8;7.5;8;8;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
04-07-2019;8;8;8;NA;15;11.5;12;10.5;11;10.5;9;8;8;8.5;9;9.5;9.5;9.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
05-07-2019;8;8;8;8.5;NA;12;11.5;11;11.5;11;9;8.5;6.5;9;9;9.5;9.5;8.5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
06-07-2019;8;8;8;8.5;12;NA;10.5;10;10;10;8.5;8;7.5;9;10.5;10;10;10;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
08-07-2019;8;8;8;8.5;12;9.5;9;NA;9;8.5;7.5;8;7;8.5;11;11;9.5;9.5;9.5;9.5;9.5;9.5;NA;NA;NA;NA;NA;NA;NA;NA;NA
09-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;9;7.5;9;9.5;8;12;12;11.5;11;10;10.5;9;9.5;9.5;NA;NA;NA;NA;NA;NA;NA;NA
10-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;NA;7.5;8.5;8.5;10;12.5;13;13;12.5;10.5;10;9.5;9.5;10;10.5;NA;NA;NA;NA;NA;NA;NA
11-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;8;NA;8.5;8.5;10;12.5;13.5;13.5;13.5;11.5;9.5;8.5;9.5;10;10;10;NA;NA;NA;NA;NA;NA
12-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;8;9.5;NA;8.5;9.5;12.5;12.5;13.5;12.5;11;9;7;8;8;9.5;11;11;NA;NA;NA;NA;NA
13-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;8;9.5;9;9;10;12.5;13.5;13;13;10.5;8;6.5;6.5;8;9.5;10.5;11;11;NA;NA;NA;NA
15-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;8;9.5;9;8;8.5;NA;13.5;12;12;12;10.5;5.5;6;8;10.5;11;11.5;12;11.5;11.5;NA;NA
16-07-2019;8;8;8;8.5;12;9.5;9;9.5;10.5;8;9.5;9;8;8.5;10.5;NA;11.5;11;11;10;5.5;5.5;8.5;11;11;11;11.5;12.5;12.5;12;NA
